Crude Oil;https://finance.yahoo.com/world-indices/quote/CL=F?p=CL=F;67.87;+3.08%
Dow 30;https://finance.yahoo.com/world-indices/quote/^DJI?p=^DJI;25,733.60;-0.34%
Gold;https://finance.yahoo.com/world-indices/quote/GC=F?p=GC=F;1,202.90;+0.24%
S&P 500;https://finance.yahoo.com/world-indices/quote/^GSPC?p=^GSPC;2,861.82;-0.04%
FTSE 100;https://finance.yahoo.com/world-indices/quote/^FTSE?p=^FTSE;7,574.24;+0.11%
BTC-USD;https://finance.yahoo.com/world-indices/quote/BTC-USD?p=BTC-USD;6,360.59;-2.01%
USD/JPY;https://finance.yahoo.com/world-indices/quote/JPY=X?p=JPY=X;110.50;+0.31%
Nasdaq;https://finance.yahoo.com/world-indices/quote/^IXIC?p=^IXIC;7,889.10;+0.38%
10-Yr Bond;https://finance.yahoo.com/world-indices/quote/^TNX?p=^TNX;2.82;-0.74%
GBP/USD;https://finance.yahoo.com/world-indices/quote/GBPUSD=X?p=GBPUSD=X;1.29;+0.12%
Nikkei 225;https://finance.yahoo.com/world-indices/quote/^N225?p=^N225;22,362.55;+0.64%
Vix;https://finance.yahoo.com/world-indices/quote/^VIX?p=^VIX;12.06;-6.22%
Russell 2000;https://finance.yahoo.com/world-indices/quote/^RUT?p=^RUT;1,721.69;+0.21%
Silver;https://finance.yahoo.com/world-indices/quote/SI=F?p=SI=F;14.74;-0.18%
EUR/USD;https://finance.yahoo.com/world-indices/quote/EURUSD=X?p=EURUSD=X;1.16;+0.27%
