Date,Open,High,Low,Close,Adj Close,Volume
Aug 20 2018,11.80,11.86,11.57,11.73,11.73,13977800
Aug 17 2018,12.16,12.17,11.63,11.89,11.89,22444600
Aug 16 2018,12.30,12.58,12.10,12.17,12.17,14652900
Aug 15 2018,12.27,12.30,12.11,12.18,12.18,13643600
Aug 14 2018,12.65,12.73,12.31,12.34,12.34,13042700
Aug 13 2018,12.24,12.77,12.24,12.57,12.57,15724400
Aug 10 2018,12.14,12.50,12.09,12.31,12.31,15883900
Aug 09 2018,12.15,12.67,12.07,12.31,12.31,24290700
Aug 08 2018,12.83,12.84,12.04,12.23,12.23,61183600
Aug 07 2018,13.01,13.37,12.78,13.12,13.12,50202000
Aug 06 2018,12.73,13.13,12.71,13.05,13.05,17656600
Aug 03 2018,12.71,13.01,12.66,12.73,12.73,11512900
Aug 02 2018,12.31,12.75,12.18,12.70,12.70,11731900
Aug 01 2018,12.55,12.61,12.20,12.38,12.38,11228000
Jul 31 2018,12.26,12.57,12.15,12.50,12.50,14874500
Jul 30 2018,12.74,12.75,12.00,12.27,12.27,27156900
Jul 27 2018,13.14,13.18,12.52,12.83,12.83,28282700
Jul 26 2018,13.07,13.40,12.77,13.37,13.37,20037300
Jul 25 2018,13.32,13.44,13.16,13.39,13.39,16509100
Jul 24 2018,13.45,13.45,12.96,13.14,13.14,15870300
Jul 23 2018,13.20,13.41,13.11,13.39,13.39,8894500
Jul 20 2018,13.45,13.46,13.21,13.27,13.27,8760900
Jul 19 2018,13.30,13.61,13.29,13.43,13.43,13457800
Jul 18 2018,13.40,13.50,13.17,13.35,13.35,10726500
Jul 17 2018,12.95,13.54,12.91,13.42,13.42,16781300
Jul 16 2018,13.25,13.48,12.90,13.07,13.07,18175900
Jul 13 2018,13.60,13.69,13.30,13.36,13.36,12215800
Jul 12 2018,13.43,13.66,13.41,13.65,13.65,11784000
Jul 11 2018,13.10,13.42,13.05,13.40,13.40,10444600
Jul 10 2018,13.73,13.76,13.25,13.31,13.31,14821200
Jul 09 2018,13.66,14.14,13.24,13.65,13.65,28755400
Jul 06 2018,13.17,13.67,13.10,13.53,13.53,14925100
Jul 05 2018,13.13,13.22,12.85,13.21,13.21,14734700
Jul 03 2018,13.15,13.23,12.91,13.15,13.15,8219500
Jul 02 2018,13.05,13.23,13.00,13.15,13.15,10283800
Jun 29 2018,13.41,13.57,13.09,13.09,13.09,13972300
Jun 28 2018,12.80,13.41,12.80,13.40,13.40,18033100
Jun 27 2018,13.04,13.54,12.81,12.82,12.82,21567100
Jun 26 2018,13.11,13.22,12.93,13.00,13.00,12985400
Jun 25 2018,13.01,13.20,12.90,13.10,13.10,12363100
Jun 22 2018,13.25,13.30,12.94,13.20,13.20,13551700
Jun 21 2018,12.75,13.42,12.71,13.24,13.24,25279400
Jun 20 2018,12.85,13.09,12.69,12.80,12.80,32770600
Jun 19 2018,13.61,13.61,12.66,13.31,13.31,59696100
Jun 18 2018,14.04,14.47,13.68,14.05,14.05,34045600
Jun 15 2018,13.72,14.17,13.72,14.02,14.02,27423200
Jun 14 2018,13.71,13.99,13.63,13.87,13.87,30680700
Jun 13 2018,13.56,14.06,13.53,13.62,13.62,34414400
Jun 12 2018,13.21,13.95,13.14,13.42,13.42,38903700
Jun 11 2018,13.11,13.24,12.92,13.17,13.17,19680200
Jun 08 2018,12.56,13.35,12.42,13.08,13.08,34598300
Jun 07 2018,13.03,13.05,12.37,12.73,12.73,38066400
Jun 06 2018,13.33,13.65,12.90,13.13,13.13,49269000
Jun 05 2018,12.41,12.98,12.30,12.93,12.93,47019000
Jun 04 2018,11.81,12.40,11.70,12.32,12.32,50420300
Jun 01 2018,11.71,11.96,11.21,11.63,11.63,46463200
May 31 2018,11.17,11.79,11.11,11.39,11.39,62892100
May 30 2018,10.57,11.15,10.55,10.97,10.97,28700100
May 29 2018,10.68,10.70,10.52,10.55,10.55,11264700
May 25 2018,10.66,10.72,10.61,10.71,10.71,10501700
May 24 2018,10.63,10.68,10.51,10.60,10.60,13753400
May 23 2018,10.68,10.73,10.56,10.65,10.65,17000000
May 22 2018,10.79,10.83,10.70,10.74,10.74,13562200
May 21 2018,10.75,11.02,10.71,10.71,10.71,20462300
May 18 2018,10.56,10.86,10.52,10.58,10.58,18448400
May 17 2018,10.65,10.87,10.50,10.57,10.57,26982900
May 16 2018,10.60,10.75,10.55,10.58,10.58,19836000
May 15 2018,10.95,10.96,10.51,10.65,10.65,29277900
May 14 2018,11.00,11.05,10.85,10.98,10.98,19105800
May 11 2018,11.00,11.05,10.85,11.04,11.04,16929900
May 10 2018,11.01,11.18,10.93,11.01,11.01,19069100
May 09 2018,10.98,11.18,10.91,11.01,11.01,19856500
May 08 2018,10.95,11.43,10.75,10.97,10.97,35536400
May 07 2018,10.76,10.90,10.61,10.74,10.74,24743800
May 04 2018,10.86,10.93,10.57,10.79,10.79,39865000
May 03 2018,11.11,11.30,10.51,10.97,10.97,67507000
May 02 2018,11.30,11.70,10.96,11.03,11.03,159209400
May 01 2018,14.34,14.55,13.75,14.13,14.13,50003900
Apr 30 2018,14.36,14.44,14.09,14.33,14.33,21573800
Apr 27 2018,14.75,14.82,14.16,14.23,14.23,21763100
Apr 26 2018,14.88,15.14,14.48,14.70,14.70,22736800
Apr 25 2018,15.62,15.67,14.16,14.54,14.54,46584500
Apr 24 2018,15.51,15.96,15.40,15.63,15.63,19801800
Apr 23 2018,15.35,15.60,15.20,15.54,15.54,19132800
Apr 20 2018,15.00,15.42,14.94,15.20,15.20,20481300
Apr 19 2018,14.65,15.04,14.58,14.84,14.84,12387300
Apr 18 2018,14.85,14.88,14.54,14.65,14.65,9877800
Apr 17 2018,14.63,14.98,14.57,14.88,14.88,14023200
Apr 16 2018,14.86,14.89,14.46,14.58,14.58,11767600
Apr 13 2018,14.95,15.12,14.36,14.88,14.88,18063600
Apr 12 2018,15.24,15.50,14.77,14.92,14.92,21276200
Apr 11 2018,14.44,14.98,14.42,14.80,14.80,17711200
Apr 10 2018,14.29,14.58,14.18,14.48,14.48,16189200
Apr 09 2018,14.28,14.47,14.04,14.15,14.15,12383900
Apr 06 2018,14.35,14.57,13.98,14.25,14.25,13533900
Apr 05 2018,14.70,14.96,14.19,14.39,14.39,17015400
Apr 04 2018,13.69,14.78,13.62,14.59,14.59,20131800
Apr 03 2018,15.67,15.67,13.80,14.08,14.08,33231800
Apr 02 2018,15.67,15.73,14.45,14.46,14.46,30892600
Mar 29 2018,15.94,16.12,15.65,15.87,15.87,15434500
